k=0, 94109400 -41666664 sum=-996078712
k=1, 34502967 -41666664 sum=-372516375
k=2, -861108910 -41666664 sum=508270696
k=3, -648080839 -41666664 sum=243607416
k=4, -317880436 -41666664 sum=397029054
k=5, 350999587 -41666664 sum=174070751
k=6, 156827395 -41666664 sum=388938546
k=7, -555076188 -41666664 sum=912066689
k=8, -675222938 -41666664 sum=967265728
k=9, -379958008 -41666664 sum=316430687
k=10, -505634846 -41666664 sum=878695865
k=11, 865036355 -41666664 sum=300986051
k=12, -789325383 -41666664 sum=893097454
k=13, -177179708 -41666664 sum=67146661
k=14, -621851153 -41666664 sum=749569485
k=15, -866119796 -41666664 sum=-47675471
k=16, -134731735 -41666664 sum=-761622582
k=17, -457561117 -41666664 sum=-284224231
k=18, 380703836 -41666664 sum=-101694915
k=19, -437110442 -41666664 sum=-166815308
k=20, -582875271 -41666664 sum=-566101754
k=21, -823739157 -41666664 sum=-406779297
k=22, 237252682 -41666664 sum=-813560409
k=23, -236665221 -41666664 sum=-678699366
k=24, 155143231 -41666664 sum=-963901713
k=25, 6812533 -41666664 sum=-422518936
k=26, -481396513 -41666664 sum=-400910460
k=27, -211028062 -41666664 sum=-308784296
k=28, -20033470 -41666664 sum=-392952352
k=29, 884059391 -41666664 sum=528545113
k=30, -392267211 -41666664 sum=637200638
k=31, -835149546 -41666664 sum=-78001417
k=32, -383897598 -41666664 sum=156002834
k=33, 710016688 -41666664 sum=793085430
k=34, 550913323 -41666664 sum=24373535
k=35, 318760785 -41666664 sum=386091812
k=36, -709877480 -41666664 sum=689846896
k=37, -961963493 -41666664 sum=-478404549
k=38, -783048626 -41666664 sum=572301690
k=39, -113251869 -41666664 sum=702020510
k=40, -436383896 -41666664 sum=17171223
k=41, -937499934 -41666664 sum=-193766264
k=42, -227678548 -41666664 sum=-36586214
k=43, -262666085 -41666664 sum=-233975114
k=44, 433606714 -41666664 sum=-632574808
k=45, -587832173 -41666664 sum=-816415121
k=46, -847379136 -41666664 sum=148277352
k=47, -114233173 -41666664 sum=611370372
k=48, 654220254 -41666664 sum=-611370372
k=49, 885766764 -41666664 sum=851722585
k=50, 152620801 -41666664 sum=816415121
k=51, 412167764 -41666664 sum=632574808
k=52, -566393223 -41666664 sum=233975114
k=53, -262666085 -41666664 sum=36586214
k=54, -227678548 -41666664 sum=193766264
k=55, 62500003 -41666664 sum=982828714
k=56, -436383896 -41666664 sum=297979427
k=57, 886748068 -41666664 sum=427698247
k=58, 216951311 -41666664 sum=478404549
k=59, -961963493 -41666664 sum=-689846896
k=60, -709877480 -41666664 sum=613908125
k=61, -681239152 -41666664 sum=-24373535
k=62, -449086614 -41666664 sum=206914507
k=63, -289983249 -41666664 sum=-156002834
k=64, 616102339 -41666664 sum=-921998520
k=65, 164850391 -41666664 sum=-637200638
k=66, 607732726 -41666664 sum=-528545113
k=67, 884059391 -41666664 sum=392952352
k=68, 979966467 -41666664 sum=-691215641
k=69, 788971875 -41666664 sum=400910460
k=70, -481396513 -41666664 sum=422518936
k=71, 6812533 -41666664 sum=963901713
k=72, 155143231 -41666664 sum=678699366
k=73, 763334716 -41666664 sum=813560409
k=74, 237252682 -41666664 sum=406779297
k=75, -823739157 -41666664 sum=-433898183
k=76, 417124666 -41666664 sum=-833184629
k=77, 562889495 -41666664 sum=101694915
k=78, -619296101 -41666664 sum=284224231
k=79, -457561117 -41666664 sum=-238377355
k=80, -134731735 -41666664 sum=-952324466
k=81, 133880141 -41666664 sum=-749569485
k=82, 378148784 -41666664 sum=-67146661
k=83, -177179708 -41666664 sum=-893097454
k=84, -789325383 -41666664 sum=699013886
k=85, -134963582 -41666664 sum=121304072
k=86, 494365091 -41666664 sum=-316430687
k=87, -379958008 -41666664 sum=-967265728
k=88, -675222938 -41666664 sum=-912066689
k=89, 444923749 -41666664 sum=611061391
k=90, -843172542 -41666664 sum=825929186
k=91, -649000350 -41666664 sum=-397029054
k=92, -317880436 -41666664 sum=-243607416
k=93, -648080839 -41666664 sum=-508270696
k=94, -861108910 -41666664 sum=372516375
k=95, 34502967 -41666664 sum=996078712
k=96, 94109400 -41666664 sum=0
k=97, 0 -41666664 sum=0
k=98, 0 -41666664 sum=0
k=99, 0 -41666664 sum=0
174070751
