k=1 inv=1, c=0
k=2 inv=-50, c=0
k=3 inv=34, c=0
k=4 inv=-25, c=0
k=5 inv=-20, c=0
k=6 inv=17, c=0
k=7 inv=29, c=0
k=8 inv=38, c=0
k=9 inv=45, c=100
k=10 inv=-10, c=91
k=11 inv=46, c=46
k=12 inv=-42, c=83
k=13 inv=-31, c=93
k=14 inv=-36, c=18
k=15 inv=27, c=45
k=16 inv=19, c=74
k=17 inv=6, c=31
k=18 inv=-28, c=62
k=19 inv=16, c=37
k=20 inv=-5, c=3
k=21 inv=-24, c=81
k=22 inv=23, c=5
k=23 inv=22, c=1
k=24 inv=-21, c=42
k=25 inv=-4, c=53
k=26 inv=35, c=87
k=27 inv=15, c=80
k=28 inv=-18, c=86
k=29 inv=7, c=54
k=30 inv=-37, c=5
k=31 inv=-13, c=30
k=32 inv=-41, c=11
k=33 inv=49, c=53
k=34 inv=3, c=64
k=35 inv=26, c=24
k=36 inv=-14, c=32
k=37 inv=-30, c=100
k=38 inv=8, c=37
k=39 inv=-44, c=38
k=40 inv=48, c=36
k=41 inv=-32, c=84
k=42 inv=-12, c=61
k=43 inv=47, c=92
k=44 inv=-39, c=6
k=45 inv=9, c=58
k=46 inv=11, c=53
k=47 inv=43, c=31
k=48 inv=40, c=77
k=49 inv=33, c=11
k=50 inv=-2, c=75
k=51 inv=2, c=55
k=52 inv=-33, c=90
k=53 inv=-40, c=12
k=54 inv=-43, c=75
k=55 inv=-11, c=26
k=56 inv=-9, c=89
k=57 inv=39, c=11
k=58 inv=-47, c=46
k=59 inv=12, c=26
k=60 inv=32, c=90
k=61 inv=-48, c=24
k=62 inv=44, c=70
k=63 inv=-8, c=48
k=64 inv=30, c=43
k=65 inv=14, c=95
k=66 inv=-26, c=9
k=67 inv=-3, c=40
k=68 inv=-49, c=17
k=69 inv=41, c=65
k=70 inv=13, c=63
k=71 inv=37, c=64
k=72 inv=-7, c=1
k=73 inv=18, c=69
k=74 inv=-15, c=77
k=75 inv=-35, c=37
k=76 inv=4, c=48
k=77 inv=21, c=90
k=78 inv=-22, c=71
k=79 inv=-23, c=96
k=80 inv=24, c=47
k=81 inv=5, c=15
k=82 inv=-16, c=21
k=83 inv=28, c=14
k=84 inv=-6, c=48
k=85 inv=-19, c=59
k=86 inv=-27, c=100
k=87 inv=36, c=96
k=88 inv=31, c=20
k=89 inv=42, c=98
k=90 inv=-46, c=64
k=91 inv=10, c=39
k=92 inv=-45, c=70
k=93 inv=-38, c=27
k=94 inv=-29, c=56
k=95 inv=-17, c=83
k=96 inv=20, c=8
k=97 inv=25, c=18
k=98 inv=-34, c=55
k=99 inv=50, c=10
k=100 inv=-1, c=1
45
